relationship_code,relationship_label
ido_0000664,has_material_basis_in
cl_4030044,has_not_completed
efo_0000784,has_disease_location
efo_0001697,has_unit_of
efo_0006351,has_about_it
hancestro_0301,has_ancestry_status
obi_0000293,has_specified_input
obi_0000295,is_specified_input_of
obi_0000299,has_specified_output
mondo_0100332,disease_has_primary_infectious_agent
mondo_0100333,disease_caused_by_reactivation_of_latent_infectious_agent
gorel_0002004,results_in_fission_of
ilx_0112785,is_part_of
obi_0000312,is_specified_output_of
obi_0000417,achieves_planned_objective
obi_1110060,process_is_result_of
obi_0000643,relation_label
obi_0003385,has_assay_target_context
efo_0000784,GM12878
hancestro_0330,has_ancestry_status